term,abbr_by_first_letters
воспоминания иллюзорные,ВИ
яйцевые трубки,ЯТ
Sympathica ganglii submaxillaris,SGS
коронавирусы,К
скиаскопия,С
иммуно-,И
гемангиома ползучая,ГП
олигодендролизис,О
актинометр,А
речевая бессвязность,РБ
демаркационное кольцо,ДК
Пеликана операция,ПО
Лейнер,Л
пентозонуклеиновая кислота,ПК
пневмотахография,П
хилопневмоторакс,Х
"Alare major,",AM
Сенн,С
кардиоволюмометрия,К
мизо-,М
Пиери операция,ПО
ортопедия,О
мегалонихия,М
Бойд,Б
ногтевая луночка,НЛ
судебно-медицинский эксперт,СМЭ
радужка,Р
пурпура постинфекционная кокардообразная,ППК
дельта-клетка,ДК
Chochodka,C
тирозиноз,Т
сильвиева ямка,СЯ
ясли-сад,ЯС
Дюпюитрена перелом,ДП
Баррьера синдром,БС
ганглиозная пластинка,ГП
киста яичника вегетирующая,КЯВ
саркоплазма,С
Видровитца симптом,ВС
трихофитиды,Т
флеботензиограмма,Ф
энкефалины,Э
лазарет,Л
Эрлиха,Э
симптом вставания,СВ
"Pubicum Cooperi,",PC
хорда,Х
"Glutaeus profundus,",GP
экзентерация,Э
Sorrel,S
дистомиазы,Д
Ли болезнь,ЛБ
графо-,Г
Милроя болезнь,МБ
протеолиз,П
система функциональная,СФ
эозинофилия тропическая,ЭТ
Вернике аутопсихоз,ВА
ихтиосаркотоксизм,И
Виккерсгеймера жидкость,ВЖ
гипербилирубинемия новорожденных транзиторная семейная,ГНТС
Aorticus thoracicus,AT
Suprarenalis inferior,SI
энграмма,Э
полиартериит нодозный,ПН
противосифилитические средства,ПС
микроперелом,М
Giaccai,G
атрезия фолликулов,АФ
Фолькманна операция,ФО
срок эксплуатации медицинского имущества,СЭМИ
десквамация новорожденных ламеллезная,ДНЛ
антителообразование,А
Transversus ramus,TR
фасциолез,Ф
Седерберга симптом,СС
липоидоз дистопический наследственный,ЛДН
миопатия,М
перихолангиолит,П
Паннета решетка,ПР
глоточный карман,ГК
тризм,Т
Haudek,H
потенцирование,П
Bb. intermusculares mm. gluteorum,BIMG
лимфаденома,Л
b-цитомембрана,BЦ
лихорадка Чикунгунья,ЛЧ
Дондерса метод,ДМ
Transversum acetabuli,TA
ядро Беклара,ЯБ
Дельма способ,ДС
Фурнье симптом,ФС
цилиндрома,Ц
гассеров ганглий,ГГ
Heinsius,H
Шюсслера сухожильный шов,ШСШ
щитовидное сплетение непарное,ЩСН
Mentales,M
омфалоцеле,О
Робена синдром,РС
СД50,С
ЛТГ,Л
санитарный день,СД
болезни трансмиссивные,БТ
Sacroilica interossea,SI
Гребенюка,Г
противотрихомонадные средства,ПС
Barbagallo,B
лобковое оволосение,ЛО
кишечное орошение подводное,КОП
хрон-,Х
"Elevator humeri,",EH
Bouchard,B
ретинофот,Р
Симмондса болезнь,СБ
слепота рефлекторная,СР
атрофия кожи пятнистая,АКП
Bragg,B
риновирусы,Р
крови глюкотест,КГ
надпереносье,Н
атоксоплазма,А
истираемость таблеток,ИТ
Негеле формула,НФ
паракузия,П
альцгеймеровский синдром,АС
Гейгеля рефлекс,ГР
Кункеля проба,КП
Лиссауэра апперцептивная агнозия,ЛАА
Aponcurosis omoclavicularis,AO
поражение кожи паратравматическое,ПКП
синдром крылонебного узла,СКУ
Collateralia,C
флавин,Ф
Metacarpi ossa,MO
скорбут,С
"Intermaxillare os,",IO
микрофонный эффект улитки,МЭУ
Олива,О
подвздошно-гребешковая ямка,ПГЯ
Ушинского среда,УС
симптом смыкания век,ССВ
койка-носилки,КН
Tyson,T
френико-,Ф
[(PNA):,[
меланоамелобластома,М
аппарат Аристовского,АА
Treponema,T
Рапанта операция,РО
Хольцова операция,ХО
Moloney,M
Сабуро пептонный агар,СПА
электроимпульсатор,Э
Бертелли мембрана,БМ
липогранулема инъекционная,ЛИ
гипофосфатазия,Г
каверна,К
Радовича рефлекс,РР
гематогидронефроз,Г
желудок гипермотильный,ЖГ
хромаффиноцитома,Х
Membrana perinei,MP
мастит,М
Эдера метгемоглобинемия,ЭМ
Долинова симптом,ДС
Vastus lateralis,VL
Sternoclaviculare posterius,SP
ксеродермия,К
мизофобия,М
Керби,К
УФЛ,У
водяной,В
эротодромомания,Э
гипоконид,Г
уретеропиелография,У
психоз маниакально-меланхолический,ПММ
